id,dataset_id,title,title_eng,location,latitude,longitude,culture,collection_date,collector,performer,source,source_key,source_author,source_title,source_publisher,source_address,source_page_num,source_song_num,source_date,catalogue_number,source_url,encoder,encoding_date,copyright,license_abbr,version,meter,metric_classification,modality,key,ambitus,has_lyrics,has_music,genre,language,language_iso,url,preview_url,path,format,checksum
H0001A,sagrillo-scotland,Mary's Dream,,Schotland,,,,,,,,haydnvolsliedbearbeitungen,,,,,,,,,,Damien Sagrillo,,,,,4/4,,,G,,False,True,,,,https://kern.humdrum.org/cgi-bin/ksdata?file=data/H0001A.krn&l=users/sagrillo/scotland&format=kern,http://verovio.humdrum.org/?file=sagrillo/scotland/data/H0001A.krn,data/H0001A.krn,kern,41c2e8cd758f31b79106845371c462e3
HA002,sagrillo-scotland,John Anderson,,Schotland,,,,,,,,haydnvolsliedbearbeitungen,,,,,,,,,,Damien Sagrillo,,,,,2/2,,,G,,False,True,,,,https://kern.humdrum.org/cgi-bin/ksdata?file=data/HA002.krn&l=users/sagrillo/scotland&format=kern,http://verovio.humdrum.org/?file=sagrillo/scotland/data/HA002.krn,data/HA002.krn,kern,a32e327fcb6094db69e4ef2c3198457a
HA003,sagrillo-scotland,I Love My Love in Secret,,Schotland,,,,,,,,haydnvolsliedbearbeitungen,,,,,,,,,,Damien Sagrillo,,,,,2/2,,,G,,False,True,,,,https://kern.humdrum.org/cgi-bin/ksdata?file=data/HA003.krn&l=users/sagrillo/scotland&format=kern,http://verovio.humdrum.org/?file=sagrillo/scotland/data/HA003.krn,data/HA003.krn,kern,93a20e6f53aa2a69248b84f21010651b
HA004,sagrillo-scotland,Willie was a Wanton Wag,,Schotland,,,,,,,,haydnvolsliedbearbeitungen,,,,,,,,,,Damien Sagrillo,,,,,2/2,,,C,,False,True,,,,https://kern.humdrum.org/cgi-bin/ksdata?file=data/HA004.krn&l=users/sagrillo/scotland&format=kern,http://verovio.humdrum.org/?file=sagrillo/scotland/data/HA004.krn,data/HA004.krn,kern,a7f1390df928ff5e9946ba547b9e1785
HA005,sagrillo-scotland,Saw Ye My Father,,Schotland,,,,,,,,haydnvolsliedbearbeitungen,,,,,,,,,,Damien Sagrillo,,,,,2/4,,,D,,False,True,,,,https://kern.humdrum.org/cgi-bin/ksdata?file=data/HA005.krn&l=users/sagrillo/scotland&format=kern,http://verovio.humdrum.org/?file=sagrillo/scotland/data/HA005.krn,data/HA005.krn,kern,2781d0b467a9f3495623cd9830beefa7
HA006,sagrillo-scotland,Todlen Hame,,Schotland,,,,,,,,haydnvolsliedbearbeitungen,,,,,,,,,,Damien Sagrillo,,,,,6/8,,,A,,False,True,,,,https://kern.humdrum.org/cgi-bin/ksdata?file=data/HA006.krn&l=users/sagrillo/scotland&format=kern,http://verovio.humdrum.org/?file=sagrillo/scotland/data/HA006.krn,data/HA006.krn,kern,d9de8045f4ffd99fa9d28f05a8c3ff0a
HA007,sagrillo-scotland,Fy Gar Rub Her O'er Wi' Strae,,Schotland,,,,,,,,haydnvolsliedbearbeitungen,,,,,,,,,,Damien Sagrillo,,,,,2/2,,,e,,False,True,,,,https://kern.humdrum.org/cgi-bin/ksdata?file=data/HA007.krn&l=users/sagrillo/scotland&format=kern,http://verovio.humdrum.org/?file=sagrillo/scotland/data/HA007.krn,data/HA007.krn,kern,3b9670557ee71cd938db622cae35d6e1
HA008,sagrillo-scotland,Green Grow the Rashes,,Schotland,,,,,,,,haydnvolsliedbearbeitungen,,,,,,,,,,Damien Sagrillo,,,,,2/2,,,d,,False,True,,,,https://kern.humdrum.org/cgi-bin/ksdata?file=data/HA008.krn&l=users/sagrillo/scotland&format=kern,http://verovio.humdrum.org/?file=sagrillo/scotland/data/HA008.krn,data/HA008.krn,kern,d8fec3e19ea88333c53fd294ecda5c05
HA009,sagrillo-scotland,The Waefu' Heart,,Schotland,,,,,,,,haydnvolsliedbearbeitungen,,,,,,,,,,Damien Sagrillo,,,,,4/4,,,F,,False,True,,,,https://kern.humdrum.org/cgi-bin/ksdata?file=data/HA009.krn&l=users/sagrillo/scotland&format=kern,http://verovio.humdrum.org/?file=sagrillo/scotland/data/HA009.krn,data/HA009.krn,kern,6c651f659929634b92583e08d02f1d18
HA010,sagrillo-scotland,The Ploughman,,Schotland,,,,,,,,haydnvolsliedbearbeitungen,,,,,,,,,,Damien Sagrillo,,,,,2/2,,,D,,False,True,,,,https://kern.humdrum.org/cgi-bin/ksdata?file=data/HA010.krn&l=users/sagrillo/scotland&format=kern,http://verovio.humdrum.org/?file=sagrillo/scotland/data/HA010.krn,data/HA010.krn,kern,9e8d5d5e3a47dc367140e5f4853dd793
