id,title,title_eng,location,latitude,longitude,culture,collection_date,collector,performersource,source_key,source_page_num,source_song_num,source_date,catalogue_numberencoder,encoding_date,copyright,license_abbr,version,meter,metric_classification,modality,key,ambitus,has_lyrics,has_music,genre,language,language_iso,url,preview_url,path,format,checksum
natmn109,,,,,,,,,,,,,,,,,,,,,,,,False,True,,,,,https://verovio.humdrum.org/?file=essen/asia/china/natmin/natmn109.krn,natmin/natmn109.krn,kern,5d0400abf8957ae58306f8906dcc1536
natmn110,,,,,,,,,,,,,,,,,,,,,,,,False,True,,,,,https://verovio.humdrum.org/?file=essen/asia/china/natmin/natmn110.krn,natmin/natmn110.krn,kern,9dd84496036492aa2d6275fe7772522c
natmn111,,,,,,,,,,,,,,,,,,,,,,,,False,True,,,,,https://verovio.humdrum.org/?file=essen/asia/china/natmin/natmn111.krn,natmin/natmn111.krn,kern,2b20808214365e08d99484b75cd65ffb
natmn112,,,,,,,,,,,,,,,,,,,,,,,,False,True,,,,,https://verovio.humdrum.org/?file=essen/asia/china/natmin/natmn112.krn,natmin/natmn112.krn,kern,43fd0fdcb7a962a92dbb9b783293c395
natmn113,,,,,,,,,,,,,,,,,,,,,,,,False,True,,,,,https://verovio.humdrum.org/?file=essen/asia/china/natmin/natmn113.krn,natmin/natmn113.krn,kern,9c0746ebd14ff5e4ed01f5bbcb8e5ed1
natmn114,,,,,,,,,,,,,,,,,,,,,,,,False,True,,,,,https://verovio.humdrum.org/?file=essen/asia/china/natmin/natmn114.krn,natmin/natmn114.krn,kern,769e81658560a161dc1184984f135224
natmn115,,,,,,,,,,,,,,,,,,,,,,,,False,True,,,,,https://verovio.humdrum.org/?file=essen/asia/china/natmin/natmn115.krn,natmin/natmn115.krn,kern,f6c3fcd0b71b106b3872aa185d427353
natmn116,,,,,,,,,,,,,,,,,,,,,,,,False,True,,,,,https://verovio.humdrum.org/?file=essen/asia/china/natmin/natmn116.krn,natmin/natmn116.krn,kern,84e8ce2d0bec45ef2d57168328d3b810
natmn117,,,,,,,,,,,,,,,,,,,,,,,,False,True,,,,,https://verovio.humdrum.org/?file=essen/asia/china/natmin/natmn117.krn,natmin/natmn117.krn,kern,c2d6ab1293893dcd7b4e07733ac04ef2
natmn118,,,,,,,,,,,,,,,,,,,,,,,,False,True,,,,,https://verovio.humdrum.org/?file=essen/asia/china/natmin/natmn118.krn,natmin/natmn118.krn,kern,eb5c0606878dc7ff31e257c3380aad82
natmn119,,,,,,,,,,,,,,,,,,,,,,,,False,True,,,,,https://verovio.humdrum.org/?file=essen/asia/china/natmin/natmn119.krn,natmin/natmn119.krn,kern,228ab6197f8211b0477ec9193d336551
natmn120,,,,,,,,,,,,,,,,,,,,,,,,False,True,,,,,https://verovio.humdrum.org/?file=essen/asia/china/natmin/natmn120.krn,natmin/natmn120.krn,kern,439f9b1fcad064c244ced4779ebe64c3
natmn121,,,,,,,,,,,,,,,,,,,,,,,,False,True,,,,,https://verovio.humdrum.org/?file=essen/asia/china/natmin/natmn121.krn,natmin/natmn121.krn,kern,31f8fff8c131d17359207388c275044c
natmn122,,,,,,,,,,,,,,,,,,,,,,,,False,True,,,,,https://verovio.humdrum.org/?file=essen/asia/china/natmin/natmn122.krn,natmin/natmn122.krn,kern,1c7a8d158d35ec4f47ae8cfbf485bb95
natmn123,,,,,,,,,,,,,,,,,,,,,,,,False,True,,,,,https://verovio.humdrum.org/?file=essen/asia/china/natmin/natmn123.krn,natmin/natmn123.krn,kern,bfc9731dc1f85484a8a33afd41d77a90
natmn124,,,,,,,,,,,,,,,,,,,,,,,,False,True,,,,,https://verovio.humdrum.org/?file=essen/asia/china/natmin/natmn124.krn,natmin/natmn124.krn,kern,16e9c18f55a5b7db9712ffd14560db3f
natmn125,,,,,,,,,,,,,,,,,,,,,,,,False,True,,,,,https://verovio.humdrum.org/?file=essen/asia/china/natmin/natmn125.krn,natmin/natmn125.krn,kern,b9903e0b53628fa3975a95cb2a2d629a
natmn126,,,,,,,,,,,,,,,,,,,,,,,,False,True,,,,,https://verovio.humdrum.org/?file=essen/asia/china/natmin/natmn126.krn,natmin/natmn126.krn,kern,148e9f53cc457dc454afaf3093493680
