id,title,title_eng,location,latitude,longitude,culture,collection_date,collector,performersource,source_key,source_page_num,source_song_num,source_date,catalogue_numberencoder,encoding_date,copyright,license_abbr,version,meter,metric_classification,modality,key,ambitus,has_lyrics,has_music,genre,language,language_iso,url,preview_url,path,format,checksum,encoder
p0575,Der Maler der Blumen,,Lothringen,,,,,,,pinck1939verklingende4,19,4-14,,,,,,,6/8 ,,heptatonic ionian,F,8,False,True,"geistliches, religiöses Lied",,,https://kern.humdrum.org/cgi-bin/ksdata?file=p0575.krn&l=users/sagrillo/lorraine&format=kern,http://verovio.humdrum.org/?file=sagrillo/lorraine/p0575.krn,p0575.krn,kern,a8bd8161ac4b2a72bdae03512cd99f37,Damien Sagrillo
p0576,Alexiu,,Lothringen,,,,,,,pinck1939verklingende4,21,4-15,,,,,,,free,,heptatonic dorian,D,8,False,True,,,,https://kern.humdrum.org/cgi-bin/ksdata?file=p0576.krn&l=users/sagrillo/lorraine&format=kern,http://verovio.humdrum.org/?file=sagrillo/lorraine/p0576.krn,p0576.krn,kern,71f56bebcce09915c04f8e6882d20992,Damien Sagrillo
p0577,Der junge Markgraf ,,Lothringen,,,,,,,pinck1939verklingende4,23,4-16,,,,,,,6/8 ,,heptatonic ionian,F,11,False,True,"geistliches, religiöses Lied, Hochzeitslied",,,https://kern.humdrum.org/cgi-bin/ksdata?file=p0577.krn&l=users/sagrillo/lorraine&format=kern,http://verovio.humdrum.org/?file=sagrillo/lorraine/p0577.krn,p0577.krn,kern,4abb2d87f5efd6acf59b2171bd719c72,Damien Sagrillo
p0578,Die falsche Gr&auml;fina von Neuenburg ,,Lothringen,,,,,,,pinck1939verklingende4,24,4-17,,,,,,,3/4 ,,hexatonic minor,F,9,False,True,"???, Ballade?, Legende?",,,https://kern.humdrum.org/cgi-bin/ksdata?file=p0578.krn&l=users/sagrillo/lorraine&format=kern,http://verovio.humdrum.org/?file=sagrillo/lorraine/p0578.krn,p0578.krn,kern,2170b5e344e1fb602e16bd38dec85c5d,Damien Sagrillo
p0579,Herr und Knecht ,,Lothringen,,,,,,,pinck1939verklingende4,27,4-18,,,,,,,3/4 ,,hexatonic minor,E,11,False,True,Brautlied,,,https://kern.humdrum.org/cgi-bin/ksdata?file=p0579.krn&l=users/sagrillo/lorraine&format=kern,http://verovio.humdrum.org/?file=sagrillo/lorraine/p0579.krn,p0579.krn,kern,b4e2bb323b1128980838e9e9d1b2bfd9,Damien Sagrillo
p0580,Der Schuler ,,Lothringen,,,,,,,pinck1939verklingende4,28,4-19,,,,,,,free,,hexatonic minor,G,9,False,True,"Schuld, Reue, geistliches, religiöses Lied",,,https://kern.humdrum.org/cgi-bin/ksdata?file=p0580.krn&l=users/sagrillo/lorraine&format=kern,http://verovio.humdrum.org/?file=sagrillo/lorraine/p0580.krn,p0580.krn,kern,d6f3f93ee34dcecf251e42de4805fc7a,Damien Sagrillo
p0581,Ich ging einmal durch eine gr&uuml;ne Wies' ,,Lothringen,,,,,,,pinck1939verklingende4,30,4-20,,,,,,,6/4 9/4 ,,enneatonic,E,8,False,True,"???, Brautwerbung?, Soldatenlied?",,,https://kern.humdrum.org/cgi-bin/ksdata?file=p0581.krn&l=users/sagrillo/lorraine&format=kern,http://verovio.humdrum.org/?file=sagrillo/lorraine/p0581.krn,p0581.krn,kern,93514503de9411d8405f41cee33ac5dc,Damien Sagrillo
p0582,Es trieb sich ein M&auml;dchen ,,Lothringen,,,,,,,pinck1939verklingende4,31,4-21,,,,,,,6/8 ,,hexatonic minor,G,9,False,True,"Brautwerbung, Standesunterschied",,,https://kern.humdrum.org/cgi-bin/ksdata?file=p0582.krn&l=users/sagrillo/lorraine&format=kern,http://verovio.humdrum.org/?file=sagrillo/lorraine/p0582.krn,p0582.krn,kern,7203e870054927a39ab5d747a9f2546d,Damien Sagrillo
p0583,Das Kind im Walde ,,Lothringen,,,,,,,pinck1939verklingende4,32,4-22,,,,,,,3/2 ,,octatonic,D,7b,False,True,"Brautlied, uneheliches Kind",,,https://kern.humdrum.org/cgi-bin/ksdata?file=p0583.krn&l=users/sagrillo/lorraine&format=kern,http://verovio.humdrum.org/?file=sagrillo/lorraine/p0583.krn,p0583.krn,kern,b99cbcc7492132112ee1c6d63793e280,Damien Sagrillo
p0584,Der Schuhknecht ,,Lothringen,,,,,,,pinck1939verklingende4,33f,4-23,,,,,,,4/4 ,,heptatonic ionian,F,8,False,True,"Brautwerbung, Standesunterschied, Mord",,,https://kern.humdrum.org/cgi-bin/ksdata?file=p0584.krn&l=users/sagrillo/lorraine&format=kern,http://verovio.humdrum.org/?file=sagrillo/lorraine/p0584.krn,p0584.krn,kern,1fbd48cbf2ea0255ae8550ad3676ba47,Damien Sagrillo
