id,title,title_eng,location,latitude,longitude,culture,collection_date,collector,performer,source,source_key,source_author,source_title,source_publisher,source_address,source_page_num,source_song_num,source_date,catalogue_numberencoder,encoding_date,copyright,license_abbr,version,meter,metric_classification,modality,key,ambitus,has_lyrics,has_music,genre,language,language_iso,url,preview_url,path,format,checksum
deut2929,Grosser gott wir loben dich,,"Europa, Mitteleuropa, Deutschland",,,,,,,,bohme1895volksthumliche,,,,,,738,,,,"Copyright 1995, estate of Helmut Schaffrath.",,1.0,,compound duple,,,,False,True,"Lob -, Dank - Lied, religioes",,,https://kern.humdrum.org/cgi-bin/ksdata?file=deut2929.krn&l=essen/europa/deutschl/boehme&format=kern,https://verovio.humdrum.org/?file=essen/europa/deutschl/boehme/deut2929.krn,deut2929.krn,kern,6cbbf67500a0d8200905038c3d5a8a2b
deut2930,Grosser gott wir loben dich,,"Europa, Mitteleuropa, Deutschland",,,,,,,,bohme1895volksthumliche,,,,,,738A,,,,"Copyright 1995, estate of Helmut Schaffrath.",,1.0,,simple triple,,,,False,True,"Lob -, Dank - Lied, religioes",,,https://kern.humdrum.org/cgi-bin/ksdata?file=deut2930.krn&l=essen/europa/deutschl/boehme&format=kern,https://verovio.humdrum.org/?file=essen/europa/deutschl/boehme/deut2930.krn,deut2930.krn,kern,1b34feb3ac27cb56b290fd1a5eec753a
deut2931,Es zieht ein stiller engel,,"Europa, Mitteleuropa, Deutschland",,,,,,,,bohme1895volksthumliche,,,,,,739,,,,"Copyright 1995, estate of Helmut Schaffrath.",,1.0,,compound duple,,,,False,True,"Moral - Lied, religioes",,,https://kern.humdrum.org/cgi-bin/ksdata?file=deut2931.krn&l=essen/europa/deutschl/boehme&format=kern,https://verovio.humdrum.org/?file=essen/europa/deutschl/boehme/deut2931.krn,deut2931.krn,kern,7183d3b619299e4dfdb48ab42c4c662a
deut2932,Wie lieblich ists hienieden,,"Europa, Mitteleuropa, Deutschland, Westerwald",,,,,,,,bohme1895volksthumliche,,,,,,740,,,,"Copyright 1995, estate of Helmut Schaffrath.",,1.0,,compound duple,,,,False,True,"Moral - Lied, religioes",,,https://kern.humdrum.org/cgi-bin/ksdata?file=deut2932.krn&l=essen/europa/deutschl/boehme&format=kern,https://verovio.humdrum.org/?file=essen/europa/deutschl/boehme/deut2932.krn,deut2932.krn,kern,9831ab0e8221bf9acc0a9bb36cb83bca
deut2933,Hoffe herz nur mit geduld,,"Europa, Mitteleuropa, Deutschland, Thueringen, Sachsen, Hessen",,,,,,,,bohme1895volksthumliche,,,,,,741,,,,"Copyright 1995, estate of Helmut Schaffrath.",,1.0,,simple quadruple,,,,False,True,"Moral - Lied, religioes",,,https://kern.humdrum.org/cgi-bin/ksdata?file=deut2933.krn&l=essen/europa/deutschl/boehme&format=kern,https://verovio.humdrum.org/?file=essen/europa/deutschl/boehme/deut2933.krn,deut2933.krn,kern,1ea720fae3075c16f82a98fad59f8ef3
deut2934,Einen goldnen wanderstab,,"Europa, Mitteleuropa, Deutschland, Hochwald, Bruchweiler",,,,,,,,bohme1895volksthumliche,,,,,,742,,,,"Copyright 1995, estate of Helmut Schaffrath.",,1.0,,simple triple,,,,False,True,"Moral - Lied, religioes",,,https://kern.humdrum.org/cgi-bin/ksdata?file=deut2934.krn&l=essen/europa/deutschl/boehme&format=kern,https://verovio.humdrum.org/?file=essen/europa/deutschl/boehme/deut2934.krn,deut2934.krn,kern,3b99e01a6572a00e6f885cc0e5098d64
deut2935,Warum sind die thraenen unterm mond so viel,,"Europa, Mitteleuropa, Deutschland",,,,,,,,bohme1895volksthumliche,,,,,,743,,,,"Copyright 1995, estate of Helmut Schaffrath.",,1.0,,simple quadruple,,,,False,True,"Moral - Lied, Trost, religioes",,,https://kern.humdrum.org/cgi-bin/ksdata?file=deut2935.krn&l=essen/europa/deutschl/boehme&format=kern,https://verovio.humdrum.org/?file=essen/europa/deutschl/boehme/deut2935.krn,deut2935.krn,kern,e02d1ada8855fa8ac697a941bbdbb57b
deut2936,Auf den schnee,,"Europa, Mitteleuropa, Deutschland, Oberlausitz",,,,,,,,bohme1895volksthumliche,,,,,,744,,,,"Copyright 1995, estate of Helmut Schaffrath.",,1.0,,simple quadruple,,,,False,True,"Moral - Lied, Trost, religioes",,,https://kern.humdrum.org/cgi-bin/ksdata?file=deut2936.krn&l=essen/europa/deutschl/boehme&format=kern,https://verovio.humdrum.org/?file=essen/europa/deutschl/boehme/deut2936.krn,deut2936.krn,kern,e8a75fc2f351a373ef06094e011d2d76
deut2937,Ueb immer treu und redlichkeit,,"Europa, Mitteleuropa, Deutschland",,,,,,,,bohme1895volksthumliche,,,,,,745,,,,"Copyright 1995, estate of Helmut Schaffrath.",,1.0,,simple quadruple,,,,False,True,"Moral - Lied, religioes",,,https://kern.humdrum.org/cgi-bin/ksdata?file=deut2937.krn&l=essen/europa/deutschl/boehme&format=kern,https://verovio.humdrum.org/?file=essen/europa/deutschl/boehme/deut2937.krn,deut2937.krn,kern,4e8b1e0affeddb8e79bce18910edbe59
deut2938,Umsonst suchst du dir freudenquellen,,"Europa, Mitteleuropa, Deutschland",,,,,,,,bohme1895volksthumliche,,,,,,746,,,,"Copyright 1995, estate of Helmut Schaffrath.",,1.0,,simple quadruple,,,,False,True,"Moral - Lied, religioes",,,https://kern.humdrum.org/cgi-bin/ksdata?file=deut2938.krn&l=essen/europa/deutschl/boehme&format=kern,https://verovio.humdrum.org/?file=essen/europa/deutschl/boehme/deut2938.krn,deut2938.krn,kern,097bc85fda435aefa0104dcdb1402a4b
deut2939,O du froehliche,,"Europa, Mitteleuropa, Deutschland",,,,,,,,bohme1895volksthumliche,,,,,,747,,,,"Copyright 1995, estate of Helmut Schaffrath.",,1.0,,simple quadruple,,,,False,True,"Weihnachts - Lied, religioes",,,https://kern.humdrum.org/cgi-bin/ksdata?file=deut2939.krn&l=essen/europa/deutschl/boehme&format=kern,https://verovio.humdrum.org/?file=essen/europa/deutschl/boehme/deut2939.krn,deut2939.krn,kern,94f30476ac936b3b1b465ef81bfec905
deut2940,O sanctissima o piissima,,"Europa, Mitteleuropa, Deutschland",,,,,,,,bohme1895volksthumliche,,,,,,747A,,,,"Copyright 1995, estate of Helmut Schaffrath.",,1.0,,simple duple,,,,False,True,"Marien - Lied, religioes",,,https://kern.humdrum.org/cgi-bin/ksdata?file=deut2940.krn&l=essen/europa/deutschl/boehme&format=kern,https://verovio.humdrum.org/?file=essen/europa/deutschl/boehme/deut2940.krn,deut2940.krn,kern,595a0312f75c8def8c5d6174a90eff24
deut2941,Stille nacht heilige nacht,,"Europa, Mitteleuropa, Deutschland",,,,,,,,bohme1895volksthumliche,,,,,,748,,,,"Copyright 1995, estate of Helmut Schaffrath.",,1.0,,compound duple,,,,False,True,"Weihnachts - Lied, religioes",,,https://kern.humdrum.org/cgi-bin/ksdata?file=deut2941.krn&l=essen/europa/deutschl/boehme&format=kern,https://verovio.humdrum.org/?file=essen/europa/deutschl/boehme/deut2941.krn,deut2941.krn,kern,38e3b2756dfa67f4043a8968d1d399a4
