id,title,title_eng,location,latitude,longitude,culture,collection_date,collector,performersource,source_key,source_page_num,source_song_num,source_date,catalogue_numberencoder,encoding_date,copyright,license_abbr,version,meter,metric_classification,modality,key,ambitus,has_lyrics,has_music,genre,language,language_iso,url,preview_url,path,format,checksum,encoder,performer
nova024,Rich Counsellor,Rich Counsellor,Canada; Nova Scotia,,,Folksongs of Maritime Canada,1928///-1932///,Helen Creighton,,creighton1932nova,47,24,,,,,,,,,,,,False,True,,,,https://github.com/craigsapp/creighton-nova-scotia/blob/master/kern/nova024.krn,https://verovio.humdrum.org/?file=users/craig/songs/creighton/nova/nova024.krn,kern/nova024.krn,kern,9e9d9bbd37e0bcef1a08be8445c46ac0,Craig Stuart Sapp (music and bibliographic data)                       ,Mr. Ben Henneberry
nova025,Silvy,Silvy,Canada; Nova Scotia,,,Folksongs of Maritime Canada,1928///-1932///,Helen Creighton,,creighton1932nova,51,25,,,,,,,,,,,,False,True,,,,https://github.com/craigsapp/creighton-nova-scotia/blob/master/kern/nova025.krn,https://verovio.humdrum.org/?file=users/craig/songs/creighton/nova/nova025.krn,kern/nova025.krn,kern,b268024450807e654666352dc195fd2a,Craig Stuart Sapp (music and bibliographic data)                       ,Mr. Ben Henneberry
nova026,When I Was in My Prime,When I Was in My Prime,Canada; Nova Scotia,,,Folksongs of Maritime Canada,1928///-1932///,Helen Creighton,,creighton1932nova,53,26,,,,,,,,,,,,False,True,,,,https://github.com/craigsapp/creighton-nova-scotia/blob/master/kern/nova026.krn,https://verovio.humdrum.org/?file=users/craig/songs/creighton/nova/nova026.krn,kern/nova026.krn,kern,4ff9f19f3703b3d9e151e7565f2a14d4,Craig Stuart Sapp (music and bibliographic data)                       ,Mr. Enos Hartlan
nova027,Broken Ring Song Fragment,Broken Ring Song Fragment,Canada; Nova Scotia,,,Folksongs of Maritime Canada,1928///-1932///,Helen Creighton,,creighton1932nova,55,27,,,,,,,,,,,,False,True,,,,https://github.com/craigsapp/creighton-nova-scotia/blob/master/kern/nova027.krn,https://verovio.humdrum.org/?file=users/craig/songs/creighton/nova/nova027.krn,kern/nova027.krn,kern,dd15abce08d4e142d93ad063fe7bb293,Craig Stuart Sapp (music and bibliographic data)                       ,Mr. Edward Hartley
nova028,Broken Ring,Broken Ring,Canada; Nova Scotia,,,Folksongs of Maritime Canada,1928///-1932///,Helen Creighton,,creighton1932nova,56,28,,,,,,,,,,,,False,True,,,,https://github.com/craigsapp/creighton-nova-scotia/blob/master/kern/nova028.krn,https://verovio.humdrum.org/?file=users/craig/songs/creighton/nova/nova028.krn,kern/nova028.krn,kern,9aad2cba5e0458353b87d85202ab781c,Craig Stuart Sapp (music and bibliographic data)                       ,Mrs. Agnes Gorham
nova029,The Dark-Eyed Sailor,The Dark-Eyed Sailor,Canada; Nova Scotia,,,Folksongs of Maritime Canada,1928///-1932///,Helen Creighton,,creighton1932nova,58,29,,,,,,,,,,,,False,True,,,,https://github.com/craigsapp/creighton-nova-scotia/blob/master/kern/nova029.krn,https://verovio.humdrum.org/?file=users/craig/songs/creighton/nova/nova029.krn,kern/nova029.krn,kern,114cdf94ed75aba8a1aa1f77371d9d5c,Craig Stuart Sapp (music and bibliographic data)                       ,Mrs. Thomas Osborne
nova030,Mantle So Green,Mantle So Green,Canada; Nova Scotia,,,Folksongs of Maritime Canada,1928///-1932///,Helen Creighton,,creighton1932nova,60,30,,,,,,,,,,,,False,True,,,,https://github.com/craigsapp/creighton-nova-scotia/blob/master/kern/nova030.krn,https://verovio.humdrum.org/?file=users/craig/songs/creighton/nova/nova030.krn,kern/nova030.krn,kern,b945dc1feebb772ad39192d31fdcc26a,Craig Stuart Sapp (music and bibliographic data)                       ,Mr. Ben Henneberry
nova031,Bessie Beauty,Bessie Beauty,Canada; Nova Scotia,,,Folksongs of Maritime Canada,1928///-1932///,Helen Creighton,,creighton1932nova,62,31,,,,,,,,,,,,False,True,,,,https://github.com/craigsapp/creighton-nova-scotia/blob/master/kern/nova031.krn,https://verovio.humdrum.org/?file=users/craig/songs/creighton/nova/nova031.krn,kern/nova031.krn,kern,48685cb62c33ab27e6e597986e96f20b,Craig Stuart Sapp (music and bibliographic data)                       ,Mr. Al Coolen
nova032,Billy Taylor,Billy Taylor,Canada; Nova Scotia,,,Folksongs of Maritime Canada,1928///-1932///,Helen Creighton,,creighton1932nova,64,32,,,,,,,,,,,,False,True,,,,https://github.com/craigsapp/creighton-nova-scotia/blob/master/kern/nova032.krn,https://verovio.humdrum.org/?file=users/craig/songs/creighton/nova/nova032.krn,kern/nova032.krn,kern,3a18e993fb9783682ca51198f1643ffc,Craig Stuart Sapp (music and bibliographic data)                       ,Mrs. William McNab
nova033,Caroline and Her Young Sailor Bold,Caroline and Her Young Sailor Bold,Canada; Nova Scotia,,,Folksongs of Maritime Canada,1928///-1932///,Helen Creighton,,creighton1932nova,66,33,,,,,,,,,,,,False,True,,,,https://github.com/craigsapp/creighton-nova-scotia/blob/master/kern/nova033.krn,https://verovio.humdrum.org/?file=users/craig/songs/creighton/nova/nova033.krn,kern/nova033.krn,kern,f4962d98769704ab5d726acf8ed563bf,Craig Stuart Sapp (music and bibliographic data)                       ,Mrs. Thomas Osborne
nova034,Female Sailor Bold,Female Sailor Bold,Canada; Nova Scotia,,,Folksongs of Maritime Canada,1928///-1932///,Helen Creighton,,creighton1932nova,68,34,,,,,,,,,,,,False,True,,,,https://github.com/craigsapp/creighton-nova-scotia/blob/master/kern/nova034.krn,https://verovio.humdrum.org/?file=users/craig/songs/creighton/nova/nova034.krn,kern/nova034.krn,kern,887e6047db3d33d403f45b8b99a28407,Craig Stuart Sapp (music and bibliographic data)                       ,Mr. Ben Henneberry
nova035,The Gay Spanish Maid,The Gay Spanish Maid,Canada; Nova Scotia,,,Folksongs of Maritime Canada,1928///-1932///,Helen Creighton,,creighton1932nova,71,35,,,,,,,,,,,,False,True,,,,https://github.com/craigsapp/creighton-nova-scotia/blob/master/kern/nova035.krn,https://verovio.humdrum.org/?file=users/craig/songs/creighton/nova/nova035.krn,kern/nova035.krn,kern,c263d5ffc1c35768942dbf9576811f95,Craig Stuart Sapp (music and bibliographic data)                       ,Mrs. Grantmyre
nova036,Gallant Brigantine,Gallant Brigantine,Canada; Nova Scotia,,,Folksongs of Maritime Canada,1928///-1932///,Helen Creighton,,creighton1932nova,73,36,,,,,,,,,,,,False,True,,,,https://github.com/craigsapp/creighton-nova-scotia/blob/master/kern/nova036.krn,https://verovio.humdrum.org/?file=users/craig/songs/creighton/nova/nova036.krn,kern/nova036.krn,kern,01b17155fe29a179f5594f65b39a6374,Craig Stuart Sapp (music and bibliographic data)                       ,Mr. Tom Henneberry and Mr. Ben Henneberry
nova037,Homeward Bound,Homeward Bound,Canada; Nova Scotia,,,Folksongs of Maritime Canada,1928///-1932///,Helen Creighton,,creighton1932nova,75,37,,,,,,,,,,,,False,True,,,,https://github.com/craigsapp/creighton-nova-scotia/blob/master/kern/nova037.krn,https://verovio.humdrum.org/?file=users/craig/songs/creighton/nova/nova037.krn,kern/nova037.krn,kern,dd479b9f5b54472ee5e51b9377abe07d,Craig Stuart Sapp (music and bibliographic data)                       ,Mr. Ben Henneberry
nova038,It Is of a Rich Lady,It Is of a Rich Lady,Canada; Nova Scotia,,,Folksongs of Maritime Canada,1928///-1932///,Helen Creighton,,creighton1932nova,76,38,,,,,,,,,,,,False,True,,,,https://github.com/craigsapp/creighton-nova-scotia/blob/master/kern/nova038.krn,https://verovio.humdrum.org/?file=users/craig/songs/creighton/nova/nova038.krn,kern/nova038.krn,kern,d4655beb83899ab1b2847271d576f793,Craig Stuart Sapp (music and bibliographic data)                       ,Mr. Richard Hartlan
nova039,Jack the Sailor,Jack the Sailor,Canada; Nova Scotia,,,Folksongs of Maritime Canada,1928///-1932///,Helen Creighton,,creighton1932nova,78,39,,,,,,,,,,,,False,True,,,,https://github.com/craigsapp/creighton-nova-scotia/blob/master/kern/nova039.krn,https://verovio.humdrum.org/?file=users/craig/songs/creighton/nova/nova039.krn,kern/nova039.krn,kern,819a20efeef0abd21782954a49c36375,Craig Stuart Sapp (music and bibliographic data)                       ,
