id,title,title_eng,location,latitude,longitude,culture,collection_date,collector,performer,source,source_key,source_author,source_title,source_publisher,source_address,source_page_num,source_song_num,source_date,catalogue_numberencoder,encoding_date,copyright,license_abbr,version,meter,metric_classification,modality,key,ambitus,has_lyrics,has_music,genre,language,language_iso,url,preview_url,path,format,checksum
NHSDiscography-042,Rimse,,"Okaribe, Hokkaido, Japan",42.4,142.26,Ainu,1978,,,"""Rimse"" [Track 4]. On Ainu Songs Chants des Ainou [CD]. France: Auvidis (1993)",,,On Ainu Songs Chants des Ainou [CD],Auvidis ,France,,Track 4,1993,,,,,,,,,,26,,,Dance,,,,,Transcriptions/xml_raw/NHSDiscography-042.xml,xml,5fe61f85c54d2bb65ca4eb2062da85fe
NHSDiscography-043,Ho ho vo laidi bheag,,"Outer Hebrides, United Kingdom ",57.62047,-7.33078,Highland Scots,pre-1952,,,"""Ho ho vo laidi bheag"" [Side 2, Track 3]. On Songs and Pipes of the Hebrides [LP]. New York: Folkways Records (1961)",,,On Songs and Pipes of the Hebrides [LP],Folkways Records ,New York,,"Side 2, Track 3",1961,,,,,,,,,,17,,,Lullaby,,,,,Transcriptions/xml_raw/NHSDiscography-043.xml,xml,79efbbfea1ba10590343fcb407a5b977
NHSDiscography-044,Voice with rattle,,"El Desemboque, Sonora, Mexico",29.5046,-112.3961,Seri,1966,,,"""Voice with rattle"" [Track EC 3402-3]. On Mexico, Sonora, Seri Indians, 1966 [sound tape reel].",,,"On Mexico, Sonora, Seri Indians, 1966 [sound tape reel]",,,,Track EC 3402-3,,,,,,,,,,,14,,,Lullaby,,,,,Transcriptions/xml_raw/NHSDiscography-044.xml,xml,491b97bb06eb3bfccbbae236d8a352d8
NHSDiscography-045,Ezzel n oufada aoua etteb ales ou n abaradh,,"(approximate) Aïr Mountains, Niger",18.357536,7.315467,Tuareg,pre-1960,,,"""Ezzel n oufada aoua etteb ales ou n abaradh"" [Side 1, Track 3]. On Tuareg Music of the Southern Sahara [LP]. New York: Folkways Records (1960)",,,On Tuareg Music of the Southern Sahara [LP],Folkways Records ,New York,,"Side 1, Track 3",1960,,,,,,,,,,14,,,Love,,,,,Transcriptions/xml_raw/NHSDiscography-045.xml,xml,7080fc48cb11262a1d4af005bd4e702f
NHSDiscography-046,Dance of the morning dove (Dokrusuani),,"Madhupur, India",24.2653802,86.6480172999999,Garo,pre-1994,,,"""Dance of the morning dove (Dokrusuani)"" [Track 7]. On Bangladesh: Les Garo de la forêt de Madhupur [CD]. Paris: Ocora Radio France: Distribution Harmonia Mundi (1994)",,,On Bangladesh: Les Garo de la forêt de Madhupur [CD],Ocora Radio France: Distribution Harmonia Mundi ,Paris,,Track 7,1994,,,,,,,,,,14,,,Dance,,,,,Transcriptions/xml_raw/NHSDiscography-046.xml,xml,36dbd361c4ebd7668f916ccb1cddc4ef
NHSDiscography-047,Love song,,"Beyond the towns of Paucartambo and Ocongate, Cusco, Peru",-13.314010199999998,-71.5931656999999,Q'ero Quichua,1964,,,"""Love song"" [Track 31]. On Mountain Music of Peru [CD]. Washington, D.C.: Smithsonian Folkways Records (1991)",,,On Mountain Music of Peru [CD],Smithsonian Folkways Records ,"Washington, D.C.",,Track 31,1991,,,,,,,,,,19,,,Love,,,,,Transcriptions/xml_raw/NHSDiscography-047.xml,xml,55102c4b856216a2de0a8dc5bca040d4
NHSDiscography-048,Laîlaî,,"Bawale (near Sonqor), Kermanshah Province, Iran",34.7836,47.6003,Kurds,1962,,,"""Laîlaî"" [Side 2, Track 8]. On Kurdish Folk Music from Western Iran [LP]. New York: Folkways Records (1966)",,,On Kurdish Folk Music from Western Iran [LP],Folkways Records ,New York,,"Side 2, Track 8",1966,,,,,,,,,,12,,,Lullaby,,,,,Transcriptions/xml_raw/NHSDiscography-048.xml,xml,9ad07d42f51cd196a2c314686d436043
NHSDiscography-049,Four lullabies,,"Bafut, Cameroon",6.084528,10.13017,Fut,1959,,,"""Four lullabies"" [Side 1, Track 8]*. On Music of the Cameroons [LP]. New York: Folkways Records (1961)",,,"[Side 1, Track 8]*",Folkways Records ,On Music of the Cameroons [LP]. New York,,,1961,,,,,,,,,,13,,,Lullaby,,,,,Transcriptions/xml_raw/NHSDiscography-049.xml,xml,3ab938798650ae7600a6f8251852ad6d
NHSDiscography-050,Mele inoa no Hi'iaka; name chant for the goddess Hi'iaka,,"Kaimu, Hawaii, USA",19.3647222,-154.97222219999998,Hawaiians,1935,,,"""Mele inoa no Hi'iaka; name chant for the goddess Hi'iaka"" [Track 20]. On Nā Leo Hawai'i Kahiko: Voices of Old Hawaii [CD]. Honolulu: Bernice P. Bishop Museum (1997)",,,On Nā Leo Hawai'i Kahiko: Voices of Old Hawaii [CD],Bernice P. Bishop Museum ,Honolulu,,Track 20,1997,,,,,,,,,,3,,,Dance,,,,,Transcriptions/xml_raw/NHSDiscography-050.xml,xml,da0beaff56adcaaa5ffe5f11e2695868
NHSDiscography-051,Tagi lullaby,,"Ti'avea, Upolu, Samoa",-13.9780281,-171.4615425,Samoans,1979,,,"""Tagi lullaby"" [Track 16]. On Spirit of Polynesia [CD]. Wotton-under-Edge, Gloucestershire, United Kingdom: Saydisc Records (1993)",,,On Spirit of Polynesia [CD],Saydisc Records ,"Wotton-under-Edge, Gloucestershire, United Kingdom",,Track 16,1993,,,,,,,,,,7,,,Lullaby,,,,,Transcriptions/xml_raw/NHSDiscography-051.xml,xml,36be0eee217b0ed118c85ee5db0c101c
NHSDiscography-052,A love song,,"Övre Soppero, Sweden",68.0907163999999,21.700781,Saami,1953,,,"""A love song"" [Disc 3, Track 21]. On Yoik: A Presentation of Saami Folk Music [CD]. Stockholm, Sweden: Caprice (1997)",,,On Yoik: A Presentation of Saami Folk Music [CD],Caprice ,"Stockholm, Sweden",,"Disc 3, Track 21",1997,,,,,,,,,,4,,,Love,,,,,Transcriptions/xml_raw/NHSDiscography-052.xml,xml,28c2d58200c6bb53c9e85e530f12a380
NHSDiscography-053,"Mele ho'oipoipo, love chant",,"Waikiki, Hawaii, USA",21.2752,-157.8312,Hawaiians,1935,,,"""Mele ho'oipoipo, love chant"" [Track 14]. On Na Leo Hawai'i Kahiko: Voices of Old Hawaii [CD]. Honolulu: Bernice P. Bishop Museum (1997)",,,On Na Leo Hawai'i Kahiko: Voices of Old Hawaii [CD],Bernice P. Bishop Museum ,Honolulu,,Track 14,1997,,,,,,,,,,8,,,Love,,,,,Transcriptions/xml_raw/NHSDiscography-053.xml,xml,638d4c9a064f27fc17f39d1583ba6096
NHSDiscography-054,Aquanusa (stone) a healing oration sung by Wilfredo Morris,,"San Blas Islands, Panama",9.57,-78.81999999999998,Kuna,pre-1983,,,"""Aquanusa (stone) a healing oration sung by Wilfredo Morris"" [Side 1, Track 4]. On Music of the Indians of Panama: The Cuna (Tule) & Chocoe (Embera) Tribes [CD]. New York: Smithsonian Folkways Records (2001)",,,On Music of the Indians of Panama: The Cuna (Tule) & Chocoe (Embera) Tribes [CD],Smithsonian Folkways Records ,New York,,"Side 1, Track 4",2001,,,,,,,,,,13,,,Healing,,,,,Transcriptions/xml_raw/NHSDiscography-054.xml,xml,4549de904689092a44c4172c4bca8c94
NHSDiscography-055,Palna,,"Karnataka, India",12.9667,77.5667,Marathi,pre-1938,,,"""Palna"" [Track 1]. On Marathi Songs from the Arnold Bake Collection [LP]. New Delhi: Archives and Research Centre for Ethnomusicology (1938)",,,On Marathi Songs from the Arnold Bake Collection [LP],Archives and Research Centre for Ethnomusicology ,New Delhi,,Track 1,1938,,,,,,,,,,10,,,Lullaby,,,,,Transcriptions/xml_raw/NHSDiscography-055.xml,xml,9df7d4bc47e9c9384d9e319b7e1b849a
NHSDiscography-056,Peyote song,,"North Dakota, USA",47.694974341862796,-102.3486328125,Pawnee,1936,,,"""Peyote song"" [Side 1, Track 3F]. On Music of the Pawnee [LP]. New York: Folkways Records (1967)",,,On Music of the Pawnee [LP],Folkways Records ,New York,,"Side 1, Track 3F",1967,,,,,,,,,,20,,,Healing,,,,,Transcriptions/xml_raw/NHSDiscography-056.xml,xml,b2ae2a0c196f70083a75f30129ab39bc
NHSDiscography-057,Dangkarrarnaka,,"Croker Island, West Arnhem, Northern Territory, Australia",-11.1764219,132.531345699999,Iwaidja,2004,,,"""Dangkarrarnaka"" [Track 28]. On Jurtbirrk: Love Songs From North Western Arnhem Land [CD]. Batchelor, Northern Territory, Australia: Batchelor Press (2005)",,,On Jurtbirrk: Love Songs From North Western Arnhem Land [CD],Batchelor Press ,"Batchelor, Northern Territory, Australia",,Track 28,2005,,,,,,,,,,10,,,Love,,,,,Transcriptions/xml_raw/NHSDiscography-057.xml,xml,7d56134dd90f6fa4c310bf48ccbef25f
