id,title,region,source,preview,url,format,path,checksum
HA021,The Shepherd Adonis,Scotland,haydnvolsliedbearbeitungen,http://verovio.humdrum.org/?file=sagrillo/scotland/HA021.krn,https://kern.humdrum.org/cgi-bin/ksdata?file=HA021.krn&l=users/sagrillo/scotland&format=kern,kern,HA021.krn,5c9363f0557288f4fb633aecb8ca37e3
HA022,The White Cockade ,Scotland,haydnvolsliedbearbeitungen,http://verovio.humdrum.org/?file=sagrillo/scotland/HA022.krn,https://kern.humdrum.org/cgi-bin/ksdata?file=HA022.krn&l=users/sagrillo/scotland&format=kern,kern,HA022.krn,61d2413077365ae0868284a07895a2ff
HA023,The Lass of Livingston ,Scotland,haydnvolsliedbearbeitungen,http://verovio.humdrum.org/?file=sagrillo/scotland/HA023.krn,https://kern.humdrum.org/cgi-bin/ksdata?file=HA023.krn&l=users/sagrillo/scotland&format=kern,kern,HA023.krn,84797a60c562038922d226d851291894
HA024,John of Badenyon,Scotland,haydnvolsliedbearbeitungen,http://verovio.humdrum.org/?file=sagrillo/scotland/HA024.krn,https://kern.humdrum.org/cgi-bin/ksdata?file=HA024.krn&l=users/sagrillo/scotland&format=kern,kern,HA024.krn,538836c5230b1d3f69d13ee384c7375b
HA025,The Bonniest Lass in A'The World ,Scotland,haydnvolsliedbearbeitungen,http://verovio.humdrum.org/?file=sagrillo/scotland/HA025.krn,https://kern.humdrum.org/cgi-bin/ksdata?file=HA025.krn&l=users/sagrillo/scotland&format=kern,kern,HA025.krn,32c2b86649b6e0ee4c17dd444c6e96a1
HA026,Duncan Davison,Scotland,haydnvolsliedbearbeitungen,http://verovio.humdrum.org/?file=sagrillo/scotland/HA026.krn,https://kern.humdrum.org/cgi-bin/ksdata?file=HA026.krn&l=users/sagrillo/scotland&format=kern,kern,HA026.krn,3d29d9aa3ad628edd629e74d184e47bf
HA027,Leader Haughs and yarrow ,Scotland,haydnvolsliedbearbeitungen,http://verovio.humdrum.org/?file=sagrillo/scotland/HA027.krn,https://kern.humdrum.org/cgi-bin/ksdata?file=HA027.krn&l=users/sagrillo/scotland&format=kern,kern,HA027.krn,8cdbcc78bd1fc7c7c00272b9269c2b77
HA028,Up in the Morning Early ,Scotland,haydnvolsliedbearbeitungen,http://verovio.humdrum.org/?file=sagrillo/scotland/HA028.krn,https://kern.humdrum.org/cgi-bin/ksdata?file=HA028.krn&l=users/sagrillo/scotland&format=kern,kern,HA028.krn,73856a1a349e551cd367f7bf8c21235d
HA029,Five and A'the Lands about it,Scotland,haydnvolsliedbearbeitungen,http://verovio.humdrum.org/?file=sagrillo/scotland/HA029.krn,https://kern.humdrum.org/cgi-bin/ksdata?file=HA029.krn&l=users/sagrillo/scotland&format=kern,kern,HA029.krn,4734b4933123ec7dc233dd9d9ce2ea44
HA030,I'm O'er Young to Marry yet ,Scotland,haydnvolsliedbearbeitungen,http://verovio.humdrum.org/?file=sagrillo/scotland/HA030.krn,https://kern.humdrum.org/cgi-bin/ksdata?file=HA030.krn&l=users/sagrillo/scotland&format=kern,kern,HA030.krn,6abfb2ddc802d7189478e2ec2ed716a2
HA031,My Ain Kind Deary ,Scotland,haydnvolsliedbearbeitungen,http://verovio.humdrum.org/?file=sagrillo/scotland/HA031.krn,https://kern.humdrum.org/cgi-bin/ksdata?file=HA031.krn&l=users/sagrillo/scotland&format=kern,kern,HA031.krn,2745a92a226863cf3bbba54bf3def722
HA032,Dainty Davie ,Scotland,haydnvolsliedbearbeitungen,http://verovio.humdrum.org/?file=sagrillo/scotland/HA032.krn,https://kern.humdrum.org/cgi-bin/ksdata?file=HA032.krn&l=users/sagrillo/scotland&format=kern,kern,HA032.krn,a368ba7dff539392a1f68f02e3ca4048
HA033,Pentland Hills ,Scotland,haydnvolsliedbearbeitungen,http://verovio.humdrum.org/?file=sagrillo/scotland/HA033.krn,https://kern.humdrum.org/cgi-bin/ksdata?file=HA033.krn&l=users/sagrillo/scotland&format=kern,kern,HA033.krn,8e691ea599eb5951426c488f6ec70c17
HA034,Duncan Gray ,Scotland,haydnvolsliedbearbeitungen,http://verovio.humdrum.org/?file=sagrillo/scotland/HA034.krn,https://kern.humdrum.org/cgi-bin/ksdata?file=HA034.krn&l=users/sagrillo/scotland&format=kern,kern,HA034.krn,62947c99be30e0bc8e72b70bf1c07e1d
HA035,Maggy Lauder ,Scotland,haydnvolsliedbearbeitungen,http://verovio.humdrum.org/?file=sagrillo/scotland/HA035.krn,https://kern.humdrum.org/cgi-bin/ksdata?file=HA035.krn&l=users/sagrillo/scotland&format=kern,kern,HA035.krn,99dec199b3733b3c256aeb0e01dc0fb2
HA036,How Can I Be Sad on my Wedding Day ,Scotland,haydnvolsliedbearbeitungen,http://verovio.humdrum.org/?file=sagrillo/scotland/HA036.krn,https://kern.humdrum.org/cgi-bin/ksdata?file=HA036.krn&l=users/sagrillo/scotland&format=kern,kern,HA036.krn,73122d695159fb3b8636aabeb764ba92
HA037,Nanny O ,Scotland,haydnvolsliedbearbeitungen,http://verovio.humdrum.org/?file=sagrillo/scotland/HA037.krn,https://kern.humdrum.org/cgi-bin/ksdata?file=HA037.krn&l=users/sagrillo/scotland&format=kern,kern,HA037.krn,ab594ff2deb10387517b1a35bb2150da
HA038,Woo'd and Married And A' ,Scotland,haydnvolsliedbearbeitungen,http://verovio.humdrum.org/?file=sagrillo/scotland/HA038.krn,https://kern.humdrum.org/cgi-bin/ksdata?file=HA038.krn&l=users/sagrillo/scotland&format=kern,kern,HA038.krn,d3767516570de68cecfff55f019f45d5
HA039,Blue Bonnets ,Scotland,haydnvolsliedbearbeitungen,http://verovio.humdrum.org/?file=sagrillo/scotland/HA039.krn,https://kern.humdrum.org/cgi-bin/ksdata?file=HA039.krn&l=users/sagrillo/scotland&format=kern,kern,HA039.krn,20fd53602eb9142ce4369e525b26054f
HA040,The Walking of the Fauld ,Scotland,haydnvolsliedbearbeitungen,http://verovio.humdrum.org/?file=sagrillo/scotland/HA040.krn,https://kern.humdrum.org/cgi-bin/ksdata?file=HA040.krn&l=users/sagrillo/scotland&format=kern,kern,HA040.krn,9fb357c29f95384bce5bfd3c2aff9506
HA041,"John, Come Kiss me now ",Scotland,haydnvolsliedbearbeitungen,http://verovio.humdrum.org/?file=sagrillo/scotland/HA041.krn,https://kern.humdrum.org/cgi-bin/ksdata?file=HA041.krn&l=users/sagrillo/scotland&format=kern,kern,HA041.krn,7b8e817ff787fb9f69fd68376e6f2133
HA042,Mount Your Baggage ,Scotland,haydnvolsliedbearbeitungen,http://verovio.humdrum.org/?file=sagrillo/scotland/HA042.krn,https://kern.humdrum.org/cgi-bin/ksdata?file=HA042.krn&l=users/sagrillo/scotland&format=kern,kern,HA042.krn,36d1f5b715c841bcab50dc0a4fae838c
HA043,Ye Gods! Was Strephon's Picture Blest ,Scotland,haydnvolsliedbearbeitungen,http://verovio.humdrum.org/?file=sagrillo/scotland/HA043.krn,https://kern.humdrum.org/cgi-bin/ksdata?file=HA043.krn&l=users/sagrillo/scotland&format=kern,kern,HA043.krn,10d5e6463d073fbe75a587806dbe45bf
HA044,Sleepie Bodie,Scotland,haydnvolsliedbearbeitungen,http://verovio.humdrum.org/?file=sagrillo/scotland/HA044.krn,https://kern.humdrum.org/cgi-bin/ksdata?file=HA044.krn&l=users/sagrillo/scotland&format=kern,kern,HA044.krn,5cdf3b7554cd5f3e3fc510a2fc5ab24b
HA045,The Gard'ner Wi' his Paidle ,Scotland,haydnvolsliedbearbeitungen,http://verovio.humdrum.org/?file=sagrillo/scotland/HA045.krn,https://kern.humdrum.org/cgi-bin/ksdata?file=HA045.krn&l=users/sagrillo/scotland&format=kern,kern,HA045.krn,6f7c9740adc171661ddee9a1eeb4f3f1
HA046,The Brisk Young Lady ,Scotland,haydnvolsliedbearbeitungen,http://verovio.humdrum.org/?file=sagrillo/scotland/HA046.krn,https://kern.humdrum.org/cgi-bin/ksdata?file=HA046.krn&l=users/sagrillo/scotland&format=kern,kern,HA046.krn,4df370db024608edeeb2b12b63ecb968
HA047,Cumbernauld House ,Scotland,haydnvolsliedbearbeitungen,http://verovio.humdrum.org/?file=sagrillo/scotland/HA047.krn,https://kern.humdrum.org/cgi-bin/ksdata?file=HA047.krn&l=users/sagrillo/scotland&format=kern,kern,HA047.krn,b8bf45b2e6cf62843a8f69387f669708
HA048,O Can You Sew Cushions ,Scotland,haydnvolsliedbearbeitungen,http://verovio.humdrum.org/?file=sagrillo/scotland/HA048.krn,https://kern.humdrum.org/cgi-bin/ksdata?file=HA048.krn&l=users/sagrillo/scotland&format=kern,kern,HA048.krn,efef44c4b79f22e56932e0c3dd906d9a
HA049,Here's a Health to my True Love,Scotland,haydnvolsliedbearbeitungen,http://verovio.humdrum.org/?file=sagrillo/scotland/HA049.krn,https://kern.humdrum.org/cgi-bin/ksdata?file=HA049.krn&l=users/sagrillo/scotland&format=kern,kern,HA049.krn,1282f1124e8c8680c9b1a6d43916ee8a
HA050,Merry May the Maid Be ,Scotland,haydnvolsliedbearbeitungen,http://verovio.humdrum.org/?file=sagrillo/scotland/HA050.krn,https://kern.humdrum.org/cgi-bin/ksdata?file=HA050.krn&l=users/sagrillo/scotland&format=kern,kern,HA050.krn,044de308bcee2d103007a02a05cc86d4
HA051,The Mucking of Geordie's Byer ,Scotland,haydnvolsliedbearbeitungen,http://verovio.humdrum.org/?file=sagrillo/scotland/HA051.krn,https://kern.humdrum.org/cgi-bin/ksdata?file=HA051.krn&l=users/sagrillo/scotland&format=kern,kern,HA051.krn,3e52f167a653df0c0e48ac147393bcd7
