id,dataset_id,title,title_eng,location,latitude,longitude,culture,collection_date,collector,performer,source,source_key,source_author,source_title,source_publisher,source_address,source_page_num,source_song_num,source_date,catalogue_number,source_url,encoder,encoding_date,copyright,license_abbr,version,meter,metric_classification,modality,key,ambitus,has_lyrics,has_music,genre,language,language_iso,url,preview_url,path,format,checksum
NHSDiscography-053,natural-history-of-song,"Mele ho'oipoipo, love chant",,"Waikiki, Hawaii, USA",21.2752,-157.8312,Hawaiians,1935,,,"""Mele ho'oipoipo, love chant"" [Track 14]. On Na Leo Hawai'i Kahiko: Voices of Old Hawaii [CD]. Honolulu: Bernice P. Bishop Museum (1997)",,,On Na Leo Hawai'i Kahiko: Voices of Old Hawaii [CD],Bernice P. Bishop Museum ,Honolulu,,Track 14,1997,,http://www.worldcat.org/oclc/123093348,,,,,,,,,,8,,,Love,,,,,data/Transcriptions/xml_raw/NHSDiscography-053.xml,xml,638d4c9a064f27fc17f39d1583ba6096
NHSDiscography-054,natural-history-of-song,Aquanusa (stone) a healing oration sung by Wilfredo Morris,,"San Blas Islands, Panama",9.57,-78.81999999999998,Kuna,pre-1983,,,"""Aquanusa (stone) a healing oration sung by Wilfredo Morris"" [Side 1, Track 4]. On Music of the Indians of Panama: The Cuna (Tule) & Chocoe (Embera) Tribes [CD]. New York: Smithsonian Folkways Records (2001)",,,On Music of the Indians of Panama: The Cuna (Tule) & Chocoe (Embera) Tribes [CD],Smithsonian Folkways Records ,New York,,"Side 1, Track 4",2001,,http://www.worldcat.org/oclc/49687253,,,,,,,,,,13,,,Healing,,,,,data/Transcriptions/xml_raw/NHSDiscography-054.xml,xml,4549de904689092a44c4172c4bca8c94
NHSDiscography-055,natural-history-of-song,Palna,,"Karnataka, India",12.9667,77.5667,Marathi,pre-1938,,,"""Palna"" [Track 1]. On Marathi Songs from the Arnold Bake Collection [LP]. New Delhi: Archives and Research Centre for Ethnomusicology (1938)",,,On Marathi Songs from the Arnold Bake Collection [LP],Archives and Research Centre for Ethnomusicology ,New Delhi,,Track 1,1938,,http://www.worldcat.org/oclc/689541885,,,,,,,,,,10,,,Lullaby,,,,,data/Transcriptions/xml_raw/NHSDiscography-055.xml,xml,9df7d4bc47e9c9384d9e319b7e1b849a
NHSDiscography-056,natural-history-of-song,Peyote song,,"North Dakota, USA",47.694974341862796,-102.3486328125,Pawnee,1936,,,"""Peyote song"" [Side 1, Track 3F]. On Music of the Pawnee [LP]. New York: Folkways Records (1967)",,,On Music of the Pawnee [LP],Folkways Records ,New York,,"Side 1, Track 3F",1967,,http://www.worldcat.org/oclc/3237418,,,,,,,,,,20,,,Healing,,,,,data/Transcriptions/xml_raw/NHSDiscography-056.xml,xml,b2ae2a0c196f70083a75f30129ab39bc
NHSDiscography-057,natural-history-of-song,Dangkarrarnaka,,"Croker Island, West Arnhem, Northern Territory, Australia",-11.1764219,132.531345699999,Iwaidja,2004,,,"""Dangkarrarnaka"" [Track 28]. On Jurtbirrk: Love Songs From North Western Arnhem Land [CD]. Batchelor, Northern Territory, Australia: Batchelor Press (2005)",,,On Jurtbirrk: Love Songs From North Western Arnhem Land [CD],Batchelor Press ,"Batchelor, Northern Territory, Australia",,Track 28,2005,,http://www.worldcat.org/oclc/212740985,,,,,,,,,,10,,,Love,,,,,data/Transcriptions/xml_raw/NHSDiscography-057.xml,xml,7d56134dd90f6fa4c310bf48ccbef25f
NHSDiscography-058,natural-history-of-song,Untitled Papua New Guinea love track.,,"Western Highlands Province, Papua New Guinea",-5.626812999999999,144.25931200000002,Melpa,pre-2011,,,"""Untitled Papua New Guinea love track."" Unpublished recording acquired from Don Niles (2011).",,,,,,,Unpublished recording acquired from Don Niles (2011),,,.,,,,,,,,,,13,,,Love,,,,,data/Transcriptions/xml_raw/NHSDiscography-058.xml,xml,68b89bfbbcb3082a32897534f51c2330
NHSDiscography-059,natural-history-of-song,Tapiti,,"Alto Izogog, Bolivia",-18.412974,-61.780545,Guarani,1991-1997,,,"""Tapiti"" [Track 46]. On Le chant des engants du monde: vol. 6 Amérique du Sud (CD). Paris, France: Arion (1998)",,,On Le chant des engants du monde: vol,Arion ,"6 Amérique du Sud (CD). Paris, France",,Track 46,1998,,http://www.worldcat.org/oclc/41240806,,,,,,,,,,5,,,Lullaby,,,,,data/Transcriptions/xml_raw/NHSDiscography-059.xml,xml,0e3fe888726720409a217208e0b934b6
NHSDiscography-060,natural-history-of-song,Belian (slow) - Meratus,,"South Kalimantan, Indonesia",-3.0926415,115.28375849999901,Meratus,1997-1998,,,"""Belian (slow) - Meratus"" [Track 4]. On Bornéo: Music of the Dayak and of the Punan [CD]. Paris, France: Buda Musique (1999)",,,On Bornéo: Music of the Dayak and of the Punan [CD],Buda Musique ,"Paris, France",,Track 4,1999,,http://www.worldcat.org/oclc/42385304,,,,,,,,,,10,,,Healing,,,,,data/Transcriptions/xml_raw/NHSDiscography-060.xml,xml,b7363e5a90dde0b386ac06722573ab0d
NHSDiscography-061,natural-history-of-song,Lama,,"Nyanza, Rwanda",-2.35,29.7333,Rwandans,1952,,,"""Lama"" [Side A, Track 2]. On TR-181: Sons d' Afrique (Rwanda) [LP]. Johannesburg: International Library of African Music (1952)",,,On TR-181: Sons d' Afrique (Rwanda) [LP],International Library of African Music ,Johannesburg,,"Side A, Track 2",1952,,http://www.worldcat.org/oclc/12841427,,,,,,,,,,17,,,Love,,,,,data/Transcriptions/xml_raw/NHSDiscography-061.xml,xml,a7fc247f11d540dba3ac15523877909d
NHSDiscography-062,natural-history-of-song,Ihumke,,"Nibutani, Hokkaido, Japan",42.6358,142.1595,Ainu,1978,,,"""Ihumke"" [Track 14]. On Ainu Songs Chants des Ainou [CD]. France: Auvidis (1993)",,,On Ainu Songs Chants des Ainou [CD],Auvidis ,France,,Track 14,1993,,http://www.worldcat.org/oclc/30756862,,,,,,,,,,12,,,Lullaby,,,,,data/Transcriptions/xml_raw/NHSDiscography-062.xml,xml,9b544b32801c5272ed9eb4851a2ca7a0
