id,dataset_id,title,title_eng,location,latitude,longitude,culture,collection_date,collector,performer,source,source_key,source_author,source_title,source_publisher,source_address,source_page_num,source_song_num,source_date,catalogue_number,source_url,encoder,encoding_date,copyright,license_abbr,version,meter,metric_classification,modality,key,ambitus,has_lyrics,has_music,genre,language,language_iso,url,preview_url,path,format,checksum
i0500,sagrillo-ireland,A Lady Fair,,Ireland,,,,,,,"O BOYLE, Sean: 25 Irish Folksongs, Dublin 1976",oboyle1976irish,,,,,,34,,,,Damien Sagrillo,,,,,3/4 ,,heptatonic dorian,D,10,False,True,"Brautwerbung, Standesunterschied",,,https://kern.humdrum.org/cgi-bin/ksdata?file=data/i0500.krn&l=users/sagrillo/ireland&format=kern,http://verovio.humdrum.org/?file=sagrillo/ireland/data/i0500.krn,data/i0500.krn,kern,63822f29ba5830e08c0c693e0c0aca0f
i0501,sagrillo-ireland,Aililiu na Gamhna,,Ireland,,,,,,,"O BOYLE, Sean: 25 Irish Folksongs, Dublin 1976",oboyle1976irish,,,,,,35,,,,Damien Sagrillo,,,,,2/4 ,,heptatonic phrygian,A,10b,False,True,???,,,https://kern.humdrum.org/cgi-bin/ksdata?file=data/i0501.krn&l=users/sagrillo/ireland&format=kern,http://verovio.humdrum.org/?file=sagrillo/ireland/data/i0501.krn,data/i0501.krn,kern,1729bb14081ad48e996e41b5258330cd
i0502,sagrillo-ireland,A Bhruinnillin Bhéasach,,Ireland,,,,,,,"O BOYLE, Sean: 25 Irish Folksongs, Dublin 1976",oboyle1976irish,,,,,,36,,,,Damien Sagrillo,,,,,3/4 ,,heptatonic lydian,F,10b,False,True,???,,,https://kern.humdrum.org/cgi-bin/ksdata?file=data/i0502.krn&l=users/sagrillo/ireland&format=kern,http://verovio.humdrum.org/?file=sagrillo/ireland/data/i0502.krn,data/i0502.krn,kern,b15be4694a201c59cb236e4b107e3d4b
i0503,sagrillo-ireland,Ban - chnoic éireann ó,,Ireland,,,,,,,"O BOYLE, Sean: 25 Irish Folksongs, Dublin 1976",oboyle1976irish,,,,,,37,,,,Damien Sagrillo,,,,,2/4 ,,heptatonic mixolydian,D,11,False,True,???,,,https://kern.humdrum.org/cgi-bin/ksdata?file=data/i0503.krn&l=users/sagrillo/ireland&format=kern,http://verovio.humdrum.org/?file=sagrillo/ireland/data/i0503.krn,data/i0503.krn,kern,144ba6785e4f428023818ab9bbc2cf24
i0504,sagrillo-ireland,Duan chroí íosa,,Ireland,,,,,,,"O BOYLE, Sean: 25 Irish Folksongs, Dublin 1976",oboyle1976irish,,,,,,504,,,,Damien Sagrillo,,,,,3/4 ,,heptatonic aeolean,E,7b,False,True,???,,,https://kern.humdrum.org/cgi-bin/ksdata?file=data/i0504.krn&l=users/sagrillo/ireland&format=kern,http://verovio.humdrum.org/?file=sagrillo/ireland/data/i0504.krn,data/i0504.krn,kern,5f6dbf026aa0911e08f9594d314dbbba
i0505,sagrillo-ireland,As I roved out,,Ireland,,,,,,,"O BOYLE, Sean: 25 Irish Folksongs, Dublin 1976",oboyle1976irish,,,,,,42,,,,Damien Sagrillo,,,,,3/4 4/4 ,,heptatonic mixolydian,D,10b,False,True,Liebeslied,,,https://kern.humdrum.org/cgi-bin/ksdata?file=data/i0505.krn&l=users/sagrillo/ireland&format=kern,http://verovio.humdrum.org/?file=sagrillo/ireland/data/i0505.krn,data/i0505.krn,kern,f29161ba32a65e9bd828feaf6ea7ee33
i0506,sagrillo-ireland,Rßdßi na scadßn,,Ireland,,,,,,,"O BOYLE, Sean: 25 Irish Folksongs, Dublin 1976",oboyle1976irish,,,,,,44,,,,Damien Sagrillo,,,,,3/4 ,,heptatonic mixolydian,C,9,False,True,erzählendes Lied ,,,https://kern.humdrum.org/cgi-bin/ksdata?file=data/i0506.krn&l=users/sagrillo/ireland&format=kern,http://verovio.humdrum.org/?file=sagrillo/ireland/data/i0506.krn,data/i0506.krn,kern,d82afd4686b0f10fc7676aaf411ed0f4
i0507,sagrillo-ireland,The banks of the bann,,Ireland,,,,,,,"O BOYLE, Sean: 25 Irish Folksongs, Dublin 1976",oboyle1976irish,,,,,,46,,,,Damien Sagrillo,,,,,4/4 ,,hexatonic minor,D,9,False,True,Verführung,,,https://kern.humdrum.org/cgi-bin/ksdata?file=data/i0507.krn&l=users/sagrillo/ireland&format=kern,http://verovio.humdrum.org/?file=sagrillo/ireland/data/i0507.krn,data/i0507.krn,kern,8d35c83d8632412e4cb1be877d73f1ec
i0508,sagrillo-ireland,The blackbird of Mullaghmore,,Ireland,,,,,,,"O BOYLE, Sean: 25 Irish Folksongs, Dublin 1976",oboyle1976irish,,,,,,48,,,,Damien Sagrillo,,,,,4/4 ,,hexatonic minor,F,11,False,True,"politisches Lied, Allegorie",,,https://kern.humdrum.org/cgi-bin/ksdata?file=data/i0508.krn&l=users/sagrillo/ireland&format=kern,http://verovio.humdrum.org/?file=sagrillo/ireland/data/i0508.krn,data/i0508.krn,kern,9a2de160078007e72f52cdfc6c1fe51c
i0509,sagrillo-ireland,Bonny Portmore,,Ireland,,,,,,,"O BOYLE, Sean: 25 Irish Folksongs, Dublin 1976",oboyle1976irish,,,,,,50,,,,Damien Sagrillo,,,,,3/4 ,,hexatonic,D,9,False,True,"erzählendes, nostalgisches Lied",,,https://kern.humdrum.org/cgi-bin/ksdata?file=data/i0509.krn&l=users/sagrillo/ireland&format=kern,http://verovio.humdrum.org/?file=sagrillo/ireland/data/i0509.krn,data/i0509.krn,kern,1f7988114fef96c0b9fd0b44ad5520bb
