id,dataset_id,title,title_translation,location,latitude,longitude,auto_geocoded,language,language_glottolog,culture,culture_dplace_id,culture_hraf_id,genre,performers,performer_genders,instrumentation,instrument_use,percussion_use,voice_use,tonality,scale,ambitus,tempo,meter,metric_classification,collectors,collection_date,collection_date_earliest,collection_date_latest,publication_key,publication_type,publication_title,publication_authors,publication_date,publication_page_num,publication_song_num,tune_family_id,catalogue_num,publication_preview_url,encoders,encoding_date,contributors,copyright,license_id,file_path,file_format,version,file_checksum,file_url,file_preview_url,file_has_lyrics,file_has_music,file_has_licence,other_fields,comments,warnings,description,lyrics
nootka011,densmore-nootka,Song in the Canoes,,"Neah Bay, Washington, U.S.A",48.365556,-124.615556,False,Makah,maka1318,Makah,,,potlatch songs,Young Doctor,male,voice|drum,True,True,True,,,,60,,,Frances Densmore,,1923,1926,densmore1939nootka,,,,,73,11,,1323,https://babel.hathitrust.org/cgi/pt?id=mdp.39015025347033&seq=125,Daniel Shanahan|Eva Shanahan,2014,,Copyright 2014 Daniel and Eva Shanahan,,data/No_11_Song_in_the_Canoes.krn,kern,,22f84a1be968c0ca39e2752a109b7968,,,False,True,,"{""language_type"": ""Non-Tone"", ""language_family"": ""Wakashan"", ""functions"": [""ceremonial"", ""harvest"", ""harvest""]}",,,,
nootka012,densmore-nootka,Song of Invitation to a Potlatch,,"Neah Bay, Washington, U.S.A",48.365556,-124.615556,False,Makah,maka1318,Makah,,,potlatch songs,Young Doctor,male,voice|drum,True,True,True,,,,54,,,Frances Densmore,,1923,1926,densmore1939nootka,,,,,74,12,,1322,https://babel.hathitrust.org/cgi/pt?id=mdp.39015025347033&seq=126,Daniel Shanahan|Eva Shanahan,2014,,Copyright 2014 Daniel and Eva Shanahan,,data/No_12_Song_of_Invitation_to_a_Potlatch.krn,kern,,060aa30538bdc52bc86de797cf3b72b4,,,False,True,,"{""language_type"": ""Non-Tone"", ""language_family"": ""Wakashan"", ""functions"": [""ceremonial"", ""harvest"", ""harvest""]}",,,,
nootka013,densmore-nootka,Song of the Guests in Their Canoes,,"Neah Bay, Washington, U.S.A",48.365556,-124.615556,False,,,Quinaelt,,,potlatch songs,Young Doctor,male,voice|drum,True,True,True,,,,mixed,,,Frances Densmore,,1923,1926,densmore1939nootka,,,,,75,13,,1504,https://babel.hathitrust.org/cgi/pt?id=mdp.39015025347033&seq=127,Daniel Shanahan|Eva Shanahan,2014,,Copyright 2014 Daniel and Eva Shanahan,,data/No_13_Song_of_the_Guests_in_Their_Canoes.krn,kern,,35d6dfef763a08757932da7d58abca76,,,False,True,,"{""language_type"": ""Non-Tone"", ""language_family"": ""Wakashan"", ""functions"": [""ceremonial"", ""harvest"", ""harvest""]}",,,,
nootka014,densmore-nootka,Song of a Guest at a Potlatch,,"Neah Bay, Washington, U.S.A",48.365556,-124.615556,False,Makah,maka1318,Makah,,,potlatch songs,Young Doctor,male,voice|drum,True,True,True,,,,mixed,,,Frances Densmore,,1923,1926,densmore1939nootka,,,,,76,14,,1324,https://babel.hathitrust.org/cgi/pt?id=mdp.39015025347033&seq=128,Daniel Shanahan|Eva Shanahan,2014,,Copyright 2014 Daniel and Eva Shanahan,,data/No_14_Song_of_a_Guest_at_a_Potlatch.krn,kern,,7b70257f87e35132c902ba01cbc6b519,,,False,True,,"{""language_type"": ""Non-Tone"", ""language_family"": ""Wakashan"", ""functions"": [""ceremonial"", ""harvest"", ""harvest""]}",,,,
nootka015,densmore-nootka,Song of the Kwikwatla Dance,,"Neah Bay, Washington, U.S.A",48.365556,-124.615556,False,Makah,maka1318,Makah,,,potlatch songs,Young Doctor,male,voice|drum,True,True,True,,,,66,,,Frances Densmore,,1923,1926,densmore1939nootka,,,,,77,15,,1325,https://babel.hathitrust.org/cgi/pt?id=mdp.39015025347033&seq=129,Daniel Shanahan|Eva Shanahan,2014,,Copyright 2014 Daniel and Eva Shanahan,,data/No__15_Song_of_the_Kwikwatla_Dance.krn,kern,,255de74ab373a5221e739c3c172b0246,,,False,True,,"{""language_type"": ""Non-Tone"", ""language_family"": ""Wakashan"", ""functions"": [""ceremonial"", ""harvest"", ""harvest""]}",,,,
nootka016,densmore-nootka,Song of the Host at a Potlatch,,"Neah Bay, Washington, U.S.A",48.365556,-124.615556,False,Makah,maka1318,Makah,,,potlatch songs,Young Doctor,male,voice|drum,True,True,True,,,,63,,,Frances Densmore,,1923,1926,densmore1939nootka,,,,,78,16,,1326,https://babel.hathitrust.org/cgi/pt?id=mdp.39015025347033&seq=130,Daniel Shanahan|Eva Shanahan,2014,,Copyright 2014 Daniel and Eva Shanahan,,data/No__16_Song_of_the_Host_at_a_Potlatch.krn,kern,,4a5289eee31cdefceddf93836e9135b2,,,False,True,,"{""language_type"": ""Non-Tone"", ""language_family"": ""Wakashan"", ""functions"": [""ceremonial"", ""harvest"", ""harvest""]}",,,,
nootka017,densmore-nootka,Song Before Distribution of Gifts (a),,"Neah Bay, Washington, U.S.A",48.365556,-124.615556,False,Makah,maka1318,Makah,,,potlatch songs,Young Doctor,male,voice|drum,True,True,True,,,,69,,,Frances Densmore,,1923,1926,densmore1939nootka,,,,,79,17,,1320,https://babel.hathitrust.org/cgi/pt?id=mdp.39015025347033&seq=131,Daniel Shanahan|Eva Shanahan,2014,,Copyright 2014 Daniel and Eva Shanahan,,data/No_17_Song_Before_Distribution_of_Gifts_(a).krn,kern,,6b637172e9531c021280589b5abd57b6,,,False,True,,"{""language_type"": ""Non-Tone"", ""language_family"": ""Wakashan"", ""functions"": [""ceremonial"", ""harvest"", ""harvest""]}",,,,
nootka018,densmore-nootka,Song Before Distribution of Gifts (b),,"Neah Bay, Washington, U.S.A",48.365556,-124.615556,False,Makah,maka1318,Makah,,,potlatch songs,Young Doctor,male,voice|drum,True,True,True,,,,80,,,Frances Densmore,,1923,1926,densmore1939nootka,,,,,80,18,,1321,https://babel.hathitrust.org/cgi/pt?id=mdp.39015025347033&seq=132,Daniel Shanahan|Eva Shanahan,2014,,Copyright 2014 Daniel and Eva Shanahan,,data/No_18_Song_Before_Distribution_of_Gifts_(b).krn,kern,,cc6d16c091a25632c655331131bf3ae6,,,False,True,,"{""language_type"": ""Non-Tone"", ""language_family"": ""Wakashan"", ""functions"": [""ceremonial"", ""harvest"", ""harvest""]}",,,,
nootka019,densmore-nootka,"""Mine is a Proud Village""",,"Neah Bay, Washington, U.S.A",48.365556,-124.615556,False,Makah,maka1318,Makah,,,potlatch songs,Mrs. Helen Irving,female,voice|drum,True,True,True,,,,56,,,Frances Densmore,,1923,1926,densmore1939nootka,,,,,81,19,,1399,https://babel.hathitrust.org/cgi/pt?id=mdp.39015025347033&seq=133,Daniel Shanahan|Eva Shanahan,2014,,Copyright 2014 Daniel and Eva Shanahan,,"data/No_19_""Mine_is_a_Proud_Village"".krn",kern,,28d00f7bab8d95f24d9baad9da4f18d6,,,False,True,,"{""language_type"": ""Non-Tone"", ""language_family"": ""Wakashan"", ""functions"": [""ceremonial"", ""harvest"", ""harvest""]}",,,,
nootka020,densmore-nootka,Song of the Women Guests,,"Neah Bay, Washington, U.S.A",48.365556,-124.615556,False,Makah,maka1318,Makah,,,potlatch songs,Young Doctor,male,voice,False,False,True,,,,76,,,Frances Densmore,,1923,1926,densmore1939nootka,,,,,82,20,,1319,https://babel.hathitrust.org/cgi/pt?id=mdp.39015025347033&seq=134,Daniel Shanahan|Eva Shanahan,2014,,Copyright 2014 Daniel and Eva Shanahan,,data/No__20_Song_of_the_Women_Guests.krn,kern,,86f96d2caeef78aaff5acbcdd2b51543,,,False,True,,"{""language_type"": ""Non-Tone"", ""language_family"": ""Wakashan"", ""functions"": [""ceremonial"", ""harvest"", ""harvest""]}",,,,
