id,song_num,page_num,catalogue_num,performer,performer_gender,culture,tonality,bpm_voice,bpm_drum,bpm,instrument_use,percussion_use,instrumentation
nootka065,65,145,1500,Edwin Hayte,male,Vancouver Island,,116,,116,FALSE,FALSE,voice
nootka066,66,146,1503,Edwin Hayte,male,Nootka,,60,60,60,TRUE,TRUE,voice|drum
nootka067,67,148,1409,Mrs. Helen Irving,female,Makah,,84,84,84,TRUE,TRUE,voice|drum
nootka068,68,150,1477,Mrs. Annie Long Tom,female,Clayoquot,,88,,88,FALSE,FALSE,voice
nootka069,69,151,1505,Mrs. Wilson Parker,female,Yakima,,80,,80,FALSE,FALSE,voice
nootka070,70,152,1364,Mrs. Wilson Parker,female,Makah,,104,,104,FALSE,FALSE,voice
nootka071,71,153,1386,James Guy,male,Makah,,112,132,mixed,TRUE,TRUE,voice|drum
nootka072,72,154,1387,James Guy,male,Makah,,66,66,66,TRUE,TRUE,voice|drum
nootka073,73,155,1375,Mrs. Wilson Parker,female,Makah,,80,,80,FALSE,FALSE,voice
nootka074,74,156,1376,Mrs. Wilson Parker,female,Makah,,63,63,63,TRUE,TRUE,voice|drum
nootka075,75,157,1459,Mrs. Sarah Guy,female,Clayoquot,,100,,100,FALSE,FALSE,voice
nootka076,76,158,1460,Mrs. Sarah Guy,female,Clayoquot,,72,,72,FALSE,FALSE,voice
nootka077,77,159,1408,Mrs. Helen Irving,female,Makah,,72,72,72,TRUE,TRUE,voice|drum
nootka078,78,160,1412,Charles Swan,male,Makah,,104,138,mixed,TRUE,TRUE,voice|drum
nootka079,79,161,1308,Young Doctor,male,Makah,,69,,69,FALSE,FALSE,voice
nootka080,80,162,1307,Young Doctor,male,Makah,,66,,66,FALSE,FALSE,voice
nootka081,81,163,1310,Young Doctor,male,Makah,,80,,80,FALSE,FALSE,voice
nootka082,82,164,1311,Young Doctor,male,Makah,,80,,80,FALSE,FALSE,voice
nootka083,83,167,1436,Mrs. Sarah Guy,female,Clayoquot,,76,,76,FALSE,FALSE,voice
