id,dataset_id,title,title_eng,location,latitude,longitude,culture,collection_date,collector,performer,source,source_key,source_author,source_title,source_publisher,source_address,source_page_num,source_song_num,source_date,catalogue_number,source_url,encoder,encoding_date,copyright,license_abbr,version,meter,metric_classification,modality,key,ambitus,has_lyrics,has_music,genre,language,language_iso,url,preview_url,path,format,checksum
t0312,sagrillo-luxembourg,Der Reiter im Quartier ,,Luxemburg,,,,,,,,thill1937singendes,,,,,,319,,,,Damien Sagrillo,,,,,6/8 ,,hexatonic minor,G,11,False,True,"historische, Kriegs- und Soldatenlieder",,,https://kern.humdrum.org/cgi-bin/ksdata?file=t/t0312.krn&l=users/sagrillo/lux&format=kern,http://verovio.humdrum.org/?file=sagrillo/lux/t/t0312.krn,t/t0312.krn,kern,39c07f929a26f2683975eba3630f7c8b
t0313,sagrillo-luxembourg,Soldatenabschied ,,Luxemburg,,,,,,,,thill1937singendes,,,,,,321,,,,Damien Sagrillo,,,,,4/4 ,,hexatonic minor,G,9,False,True,"historische, Kriegs- und Soldatenlieder",,,https://kern.humdrum.org/cgi-bin/ksdata?file=t/t0313.krn&l=users/sagrillo/lux&format=kern,http://verovio.humdrum.org/?file=sagrillo/lux/t/t0313.krn,t/t0313.krn,kern,6f6a9752baf50abdc3b9fab50bd8697b
t0314,sagrillo-luxembourg,Abschied von der Heimat ,,Luxemburg,,,,,,,,thill1937singendes,,,,,,324,,,,Damien Sagrillo,,,,,4/4 ,,hexatonic minor,D,8,False,True,"historische, Kriegs- und Soldatenlieder",,,https://kern.humdrum.org/cgi-bin/ksdata?file=t/t0314.krn&l=users/sagrillo/lux&format=kern,http://verovio.humdrum.org/?file=sagrillo/lux/t/t0314.krn,t/t0314.krn,kern,49bef3cddcbc175eeb2c04cf2df4fb8a
t0315,sagrillo-luxembourg,Vor der Schlacht ,,Luxemburg,,,,,,,,thill1937singendes,,,,,,325,,,,Damien Sagrillo,,,,,4/4 ,,heptatonic ionian,Bb,9b,False,True,"historische, Kriegs- und Soldatenlieder",,,https://kern.humdrum.org/cgi-bin/ksdata?file=t/t0315.krn&l=users/sagrillo/lux&format=kern,http://verovio.humdrum.org/?file=sagrillo/lux/t/t0315.krn,t/t0315.krn,kern,8fc5c81994ef5f7aa7daa243c475ebe0
t0316,sagrillo-luxembourg,Frisch auf Soldatenblut ,,Luxemburg,,,,,,,,thill1937singendes,,,,,,326,,,,Damien Sagrillo,,,,,4/4 ,,heptatonic ionian,A,10b,False,True,"historische, Kriegs- und Soldatenlieder",,,https://kern.humdrum.org/cgi-bin/ksdata?file=t/t0316.krn&l=users/sagrillo/lux&format=kern,http://verovio.humdrum.org/?file=sagrillo/lux/t/t0316.krn,t/t0316.krn,kern,a1493ae896d70a1334a4424c52f44ae3
t0317,sagrillo-luxembourg,Der Deserteur ,,Luxemburg,,,,,,,,thill1937singendes,,,,,,327,,,,Damien Sagrillo,,,,,6/8 ,,heptatonic ionian,D,8,False,True,"historische, Kriegs- und Soldatenlieder, Liebeslied",,,https://kern.humdrum.org/cgi-bin/ksdata?file=t/t0317.krn&l=users/sagrillo/lux&format=kern,http://verovio.humdrum.org/?file=sagrillo/lux/t/t0317.krn,t/t0317.krn,kern,198616379b2ddfc23209a0312528ce77
t0318,sagrillo-luxembourg,Soldatenleben ,,Luxemburg,,,,,,,,thill1937singendes,,,,,,329,,,,Damien Sagrillo,,,,,6/8 ,,hexatonic minor,F,9,False,True,"historische, Kriegs- und Soldatenlieder",,,https://kern.humdrum.org/cgi-bin/ksdata?file=t/t0318.krn&l=users/sagrillo/lux&format=kern,http://verovio.humdrum.org/?file=sagrillo/lux/t/t0318.krn,t/t0318.krn,kern,5dc6bb9b4dfc481cca49f94b59707ba9
t0319,sagrillo-luxembourg,Soldatenelend ,,Luxemburg,,,,,,,,thill1937singendes,,,,,,330f,,,,Damien Sagrillo,,,,,2/4 ,,heptatonic ionian,G,7b,False,True,"historische, Kriegs- und Soldatenlieder",,,https://kern.humdrum.org/cgi-bin/ksdata?file=t/t0319.krn&l=users/sagrillo/lux&format=kern,http://verovio.humdrum.org/?file=sagrillo/lux/t/t0319.krn,t/t0319.krn,kern,955f19d160c2ea938f0ee4d89925ffdb
t0320,sagrillo-luxembourg,Was hört man denn Neues vom Krieg ,,Luxemburg,,,,,,,,thill1937singendes,,,,,,332,,,,Damien Sagrillo,,,,,6/8 ,,heptatonic ionian,F,11,False,True,"historische, Kriegs- und Soldatenlieder",,,https://kern.humdrum.org/cgi-bin/ksdata?file=t/t0320.krn&l=users/sagrillo/lux&format=kern,http://verovio.humdrum.org/?file=sagrillo/lux/t/t0320.krn,t/t0320.krn,kern,e91cd9a5bc2f50d99dda3f9e48840abb
t0321,sagrillo-luxembourg,Soldatenabschied ,,Luxemburg,,,,,,,,thill1937singendes,,,,,,333,,,,Damien Sagrillo,,,,,3/8 ,,hexatonic minor,G,9,False,True,"historische, Kriegs- und Soldatenlieder, Liebeslied",,,https://kern.humdrum.org/cgi-bin/ksdata?file=t/t0321.krn&l=users/sagrillo/lux&format=kern,http://verovio.humdrum.org/?file=sagrillo/lux/t/t0321.krn,t/t0321.krn,kern,8df58b494b1489455b2837423b75bcda
t0322,sagrillo-luxembourg,Liebesnot ,,Luxemburg,,,,,,,,thill1937singendes,,,,,,334,,,,Damien Sagrillo,,,,,2/4 ,,hexatonic minor,G,9,False,True,"historische, Kriegs- und Soldatenlieder, Liebeslied",,,https://kern.humdrum.org/cgi-bin/ksdata?file=t/t0322.krn&l=users/sagrillo/lux&format=kern,http://verovio.humdrum.org/?file=sagrillo/lux/t/t0322.krn,t/t0322.krn,kern,3e823a88afb6256c9e8d51bdf1548ee8
t0323,sagrillo-luxembourg,Soldaten hab ich lieb ,,Luxemburg,,,,,,,,thill1937singendes,,,,,,336,,,,Damien Sagrillo,,,,,2/4 ,,hexatonic minor,G,7b,False,True,"historische, Kriegs- und Soldatenlieder, Liebeslied",,,https://kern.humdrum.org/cgi-bin/ksdata?file=t/t0323.krn&l=users/sagrillo/lux&format=kern,http://verovio.humdrum.org/?file=sagrillo/lux/t/t0323.krn,t/t0323.krn,kern,2981a017450b1a2856a445d73347f540
t0324,sagrillo-luxembourg,Einquartierungs-Erlebnis ,,Luxemburg,,,,,,,,thill1937singendes,,,,,,338,,,,Damien Sagrillo,,,,,6/8 ,,heptatonic ionian,G,9,False,True,"historische, Kriegs- und Soldatenlieder, Liebeslied",,,https://kern.humdrum.org/cgi-bin/ksdata?file=t/t0324.krn&l=users/sagrillo/lux&format=kern,http://verovio.humdrum.org/?file=sagrillo/lux/t/t0324.krn,t/t0324.krn,kern,3554ec047bb36c06f8201c3fbacaf33c
